Job:akbars,Version:23.00,Units:Metres
fact134,369308.390,6190868.422,94.628,
fact301,369240.485,6190964.460,94.814,
fact302,369249.489,6190960.050,94.798,
fact303,369258.523,6190955.714,94.783,
fact304,369267.558,6190951.439,94.796,
fact305,369276.440,6190947.042,94.823,
fact306,369285.476,6190942.667,94.814,
fact307,369294.737,6190938.273,94.834,
fact308,369303.430,6190933.859,95.006,
fact309,369312.432,6190929.459,94.992,
fact310,369321.455,6190925.171,94.955,
fact311,369330.375,6190920.781,95.005,
fact312,369339.677,6190916.923,95.758,
fact135,369318.432,6190869.331,94.609,
fact136,369328.339,6190870.222,94.625,
fact137,369338.331,6190871.119,94.679,
fact138,369348.367,6190871.963,94.687,
fact139,369358.233,6190872.764,94.621,
fact140,369368.266,6190873.673,94.767,
fact141,369378.212,6190874.479,94.896,
fact142,369388.212,6190875.348,94.920,
fact143,369398.136,6190875.968,94.986,
fact144,369408.198,6190877.036,95.061,
fact313,369349.132,6190911.849,95.927,
fact314,369358.525,6190906.747,95.149,
fact315,369366.698,6190903.701,95.066,
fact316,369375.637,6190899.275,94.980,
fact317,369384.644,6190894.943,95.202,
fact318,369393.297,6190890.181,95.037,
fact319,369402.572,6190886.223,95.120,
fact320,369411.830,6190882.946,95.245,
145,369417.976,6190877.995,95.164,
146,369427.742,6190878.933,95.454,
147,369437.830,6190880.205,95.621,
148,369448.009,6190880.473,95.604,
149,369458.213,6190881.333,95.539,
150,369467.422,6190882.558,95.469,
151,369477.552,6190883.597,95.183,
326,369465.195,6190855.218,95.155,
325,369456.608,6190860.081,95.123,
324,369447.741,6190864.461,95.289,
323,369438.261,6190868.676,95.427,
322,369429.623,6190873.091,95.285,
321,369420.739,6190877.402,95.231,
236,369326.189,6190793.718,94.964,
237,369335.782,6190796.611,94.964,
238,369346.112,6190797.436,95.068,
239,369355.552,6190798.662,95.098,
240,369365.405,6190799.524,95.188,
241,369375.263,6190800.020,95.259,
242,369385.178,6190801.299,95.268,
243,369395.038,6190802.100,95.230,
244,369405.399,6190803.594,95.118,
245,369415.156,6190803.993,95.155,
246,369424.917,6190805.403,95.115,
247,369435.523,6190807.320,94.995,
248,369444.879,6190807.360,95.181,
249,369455.284,6190808.167,95.298,
250,369464.749,6190809.251,95.440,
251,369475.116,6190809.923,95.415,
252,369484.991,6190810.969,95.261,
253,369494.936,6190811.939,95.285,
254,369505.186,6190813.456,95.343,
255,369514.598,6190814.013,95.417,
256,369524.374,6190815.103,95.632,
257,369534.435,6190816.048,95.779,
258,369544.372,6190817.106,96.069,
259,369551.930,6190817.671,96.321,
335,369546.306,6190815.752,96.109,
152,369487.967,6190884.136,95.406,
153,369497.715,6190884.860,95.585,
154,369507.733,6190886.286,95.844,
155,369517.375,6190886.585,96.086,
156,369527.701,6190887.402,96.380,
157,369537.828,6190888.173,96.795,
158,369547.374,6190889.170,97.201,
159,369557.545,6190890.299,96.972,
327,369474.724,6190851.208,95.127,
328,369483.386,6190846.237,95.118,
329,369492.433,6190841.949,95.129,
330,369501.273,6190837.608,95.147,
331,369510.261,6190833.266,95.153,
332,369519.227,6190828.833,95.407,
333,369528.164,6190824.450,95.584,
334,369537.234,6190820.124,95.776,
160,369569.621,6190891.111,97.314,
162,369587.079,6190892.442,97.779,
161,369577.487,6190891.682,97.423,
163,369597.877,6190894.990,97.779,
164,369607.333,6190894.484,97.840,
165,369618.141,6190896.583,98.066,
166,369627.016,6190896.247,97.894,
167,369637.445,6190897.336,97.947,
168,369647.079,6190898.190,97.729,
169,369657.482,6190898.900,97.650,
170,369667.505,6190899.868,97.520,
171,369676.534,6190900.551,97.465,
172,369687.437,6190901.408,97.521,
173,369697.373,6190902.209,97.487,
174,369707.317,6190903.168,97.396,
175,369717.383,6190903.924,97.198,
176,369727.294,6190904.697,97.117,
177,369737.196,6190905.822,96.927,
178,369746.787,6190906.748,96.763,
179,369756.490,6190907.416,96.740,
180,369766.926,6190907.392,96.454,
181,369776.345,6190908.061,96.443,
182,369786.600,6190907.346,96.244,
