For M5|Adr   103|KD1     N017      21.0 C      1|                      |                      |Z        92.38785 m   | 
For M5|Adr   104|KD1     N018##### 21.0 C  1   1|Rf        0.90599 m   |HD          3.906 m   |                      | 
For M5|Adr   105|KD1     N017##### 21.0 C  1   1|Rb        1.67522 m   |HD          3.897 m   |                      | 
For M5|Adr   106|KD1     N017##### 21.0 C  1   1|Rb        1.67526 m   |HD          3.896 m   |                      | 
For M5|Adr   107|TO  Station repeated          1|                      |                      |                      | 
For M5|Adr   108|KD1       20      21.0 C  1   1|Rf        0.90600 m   |HD          3.905 m   |                      | 
For M5|Adr   109|KD1     N017      21.0 C  1   1|Rb        1.67522 m   |HD          3.900 m   |                      | 
For M5|Adr   110|KD1     N017      21.0 C  1   1|Rb        1.67522 m   |HD          3.899 m   |                      | 
For M5|Adr   111|KD1       20      21.0 C  1   1|Rf        0.90601 m   |HD          3.906 m   |                      | 
For M5|Adr   112|KD1       20      21.0 C      1|                      |                      |Z        93.15706 m   | 
For M5|Adr   113|KD1       20      21.0 C  1   1|Rb        1.60915 m   |HD          7.032 m   |                      | 
For M5|Adr   114|KD1     N018      21.0 C  1   1|Rf        1.33770 m   |HD          6.920 m   |                      | 
For M5|Adr   115|KD1     N018      21.0 C  1   1|Rf        1.33767 m   |HD          6.923 m   |                      | 
For M5|Adr   116|KD1       20      21.0 C  1   1|Rb        1.60908 m   |HD          7.033 m   |                      | 
For M5|Adr   117|KD1     N018      21.0 C      1|                      |                      |Z        93.42849 m   | 
For M5|Adr   118|KD1     N019##### 21.0 C  1   1|Rf        2.21971 m   |HD          3.976 m   |                      | 
For M5|Adr   119|TO  Measurement repeated      1|                      |                      |                      | 
For M5|Adr   120|KD1     N019      22.0 C  1   1|Rf        2.38385 m   |HD          5.668 m   |                      | 
For M5|Adr   121|KD1     N018      22.0 C  1   1|Rb        1.18095 m   |HD          5.492 m   |                      | 
For M5|Adr   122|KD1     N018      22.0 C  1   1|Rb        1.18096 m   |HD          5.492 m   |                      | 
For M5|Adr   123|KD1     N019      22.0 C  1   1|Rf        2.38391 m   |HD          5.676 m   |                      | 
For M5|Adr   124|KD1     N019      22.0 C      1|                      |                      |Z        92.22556 m   | 
For M5|Adr   125|KD1     N019      22.0 C  1   1|Rb        2.38390 m   |HD          5.662 m   |                      | 
For M5|Adr   126|KD1       23      22.0 C  1   1|Rf        1.18095 m   |HD          5.493 m   |                      | 
For M5|Adr   127|KD1       23      22.0 C  1   1|Rf        1.18095 m   |HD          5.492 m   |                      | 
For M5|Adr   128|KD1     N019      22.0 C  1   1|Rb        2.38393 m   |HD          5.660 m   |                      | 
For M5|Adr   129|KD1       23      22.0 C      1|                      |                      |Z        93.42853 m   | 
For M5|Adr   130|KD1     N020      22.0 C  1   1|Rf        2.18298 m   |HD         42.500 m   |                      | 
For M5|Adr   131|KD1       23      22.0 C  1   1|Rb        1.73099 m   |HD         42.546 m   |                      | 
For M5|Adr   132|KD1       23      22.0 C  1   1|Rb        1.73087 m   |HD         42.556 m   |                      | 
For M5|Adr   133|KD1     N020      22.0 C  1   1|Rf        2.18257 m   |HD         42.506 m   |                      | 
For M5|Adr   134|KD1     N020      22.0 C      1|                      |                      |Z        92.97668 m   | 
For M5|Adr   135|KD1     N020      22.0 C  1   1|Rb        1.39468 m   |HD         18.369 m   |                      | 
For M5|Adr   136|KD1     N021      22.0 C  1   1|Rf        1.55318 m   |HD         18.317 m   |                      | 
For M5|Adr   137|KD1     N021      22.0 C  1   1|Rf        1.55319 m   |HD         18.313 m   |                      | 
For M5|Adr   138|KD1     N020      22.0 C  1   1|Rb        1.39467 m   |HD         18.362 m   |                      | 
For M5|Adr   139|KD1     N021      22.0 C      1|                      |                      |Z        92.81818 m   | 
For M5|Adr   140|KD1     N022##### 22.0 C  1   1|Rf        1.57256 m   |HD         14.804 m   |                      | 
For M5|Adr   141|TO  Measurement repeated      1|                      |                      |                      | 
For M5|Adr   142|KD1     N022      22.0 C  1   1|Rf        1.52224 m   |HD         17.616 m   |                      | 
For M5|Adr   143|KD1     N021      22.0 C  1   1|Rb        1.64304 m   |HD         17.800 m   |                      | 
For M5|Adr   144|KD1     N021      22.0 C  1   1|Rb        1.64294 m   |HD         17.801 m   |                      | 
For M5|Adr   145|KD1     N022      22.0 C  1   1|Rf        1.52231 m   |HD         17.618 m   |                      | 
For M5|Adr   146|KD1     N022      22.0 C      1|                      |                      |Z        92.93889 m   | 
For M5|Adr   147|KD1     N022      22.0 C  1   1|Rb        1.78437 m   |HD         20.364 m   |                      | 
For M5|Adr   148|KD1     N023      22.0 C  1   1|Rf        1.63537 m   |HD         20.839 m   |                      | 
For M5|Adr   149|KD1     N023      22.0 C  1   1|Rf        1.63534 m   |HD         20.844 m   |                      | 
For M5|Adr   150|KD1     N022      22.0 C  1   1|Rb        1.78437 m   |HD         20.376 m   |                      | 
For M5|Adr   151|KD1     N023      22.0 C      1|                      |                      |Z        93.08790 m   | 
For M5|Adr   152|KD1     N024      22.0 C  1   1|Rf        1.71812 m   |HD         16.026 m   |                      | 
For M5|Adr   153|KD1     N023      22.0 C  1   1|Rb        1.30014 m   |HD         16.000 m   |                      | 
For M5|Adr   154|KD1     N023      22.0 C  1   1|Rb        1.30014 m   |HD         15.994 m   |                      | 
For M5|Adr   155|KD1     N024      22.0 C  1   1|Rf        1.71815 m   |HD         16.029 m   |                      | 
For M5|Adr   156|KD1     N024      22.0 C      1|                      |                      |Z        92.66991 m   | 
For M5|Adr   157|KD1     N024      22.0 C  1   1|Rb        1.61228 m   |HD         18.566 m   |                      | 
For M5|Adr   158|KD1     N025      22.0 C  1   1|Rf        1.62344 m   |HD         19.522 m   |                      | 
For M5|Adr   159|KD1     N025      22.0 C  1   1|Rf        1.62354 m   |HD         19.509 m   |                      | 
For M5|Adr   160|KD1     N024      22.0 C  1   1|Rb        1.61210 m   |HD         18.554 m   |                      | 
For M5|Adr   161|KD1     N025      22.0 C      1|                      |                      |Z        92.65861 m   | 
For M5|Adr   162|KD1     N026      23.0 C  1   1|Rf        2.29245 m   |HD         27.824 m   |                      | 
For M5|Adr   163|KD1     N025      23.0 C  1   1|Rb        1.27422 m   |HD         28.012 m   |                      | 
For M5|Adr   164|KD1     N025      23.0 C  1   1|Rb        1.27447 m   |HD         27.994 m   |                      | 
For M5|Adr   165|KD1     N026      23.0 C  1   1|Rf        2.29250 m   |HD         27.794 m   |                      | 
For M5|Adr   166|KD1     N026      23.0 C      1|                      |                      |Z        91.64048 m   | 
For M5|Adr   167|KD1     N026##### 23.0 C  1   1|Rb        1.84539 m   |HD         42.138 m   |                      | 
For M5|Adr   168|KD1     N027##### 23.0 C  1   1|Rf        2.01550 m   |HD         26.369 m   |                      | 
For M5|Adr   169|TO  Station repeated          1|                      |                      |                      | 
For M5|Adr   170|KD1     N026      23.0 C  1   1|Rb        1.78357 m   |HD         33.545 m   |                      | 
For M5|Adr   171|KD1     N027      23.0 C  1   1|Rf        1.95409 m   |HD         33.670 m   |                      | 
For M5|Adr   172|KD1     N027      23.0 C  1   1|Rf        1.95410 m   |HD         33.643 m   |                      | 
For M5|Adr   173|KD1     N026      23.0 C  1   1|Rb        1.78352 m   |HD         33.525 m   |                      | 
For M5|Adr   174|KD1     N027      23.0 C      1|                      |                      |Z        91.46993 m   | 
For M5|Adr   175|KD1     N028      23.0 C  1   1|Rf        1.56819 m   |HD         26.338 m   |                      | 
For M5|Adr   176|KD1     N027      23.0 C  1   1|Rb        1.45203 m   |HD         26.015 m   |                      | 
For M5|Adr   177|KD1     N027      23.0 C  1   1|Rb        1.45186 m   |HD         26.016 m   |                      | 
For M5|Adr   178|KD1     N028      23.0 C  1   1|Rf        1.56831 m   |HD         26.338 m   |                      | 
For M5|Adr   179|KD1     N028      23.0 C      1|                      |                      |Z        91.35362 m   | 
For M5|Adr   180|KD1     N028      23.0 C  1   1|Rb        1.67011 m   |HD          6.885 m   |                      | 
For M5|Adr   181|KD1     N029      23.0 C  1   1|Rf        1.53377 m   |HD          6.773 m   |                      | 
For M5|Adr   182|KD1     N029      23.0 C  1   1|Rf        1.53377 m   |HD          6.773 m   |                      | 
For M5|Adr   183|KD1     N028      23.0 C  1   1|Rb        1.67005 m   |HD          6.880 m   |                      | 
For M5|Adr   184|KD1     N029      23.0 C      1|                      |                      |Z        91.48993 m   | 
For M5|Adr   185|KD1     N030      23.0 C  1   1|Rf        1.61992 m   |HD          8.868 m   |                      | 
For M5|Adr   186|KD1     N029      23.0 C  1   1|Rb        1.70767 m   |HD          8.591 m   |                      | 
For M5|Adr   187|KD1     N029      23.0 C  1   1|Rb        1.70769 m   |HD          8.589 m   |                      | 
For M5|Adr   188|KD1     N030      23.0 C  1   1|Rf        1.61990 m   |HD          8.870 m   |                      | 
For M5|Adr   189|KD1     N030      23.0 C      1|                      |                      |Z        91.57770 m   | 
For M5|Adr   190|KD1     N030      23.0 C  1   1|Rb        1.47459 m   |HD         15.504 m   |                      | 
For M5|Adr   191|KD1     N031      23.0 C  1   1|Rf        1.74592 m   |HD         15.228 m   |                      | 
For M5|Adr   192|KD1     N031      23.0 C  1   1|Rf        1.74589 m   |HD         15.225 m   |                      | 
For M5|Adr   193|KD1     N030      23.0 C  1   1|Rb        1.47448 m   |HD         15.508 m   |                      | 
For M5|Adr   194|KD1     N031      23.0 C      1|                      |                      |Z        91.30634 m   | 
For M5|Adr   195|KD1     N032      23.0 C  1   1|Rf        1.58689 m   |HD         19.256 m   |                      | 
For M5|Adr   196|KD1     N031      23.0 C  1   1|Rb        1.58347 m   |HD         19.398 m   |                      | 
