For M5|Adr    88|KD1     N025      24.0 C  1   1|Rb        1.53532 m   |HD         18.616 m   |                      | 
For M5|Adr    89|KD1     N043      24.0 C  1   1|Rf        1.27632 m   |HD         18.575 m   |                      | 
For M5|Adr    90|KD1     N043      24.0 C  1   1|Rf        1.27644 m   |HD         18.574 m   |                      | 
For M5|Adr    91|KD1     N025      24.0 C  1   1|Rb        1.53528 m   |HD         18.615 m   |                      | 
For M5|Adr    92|KD1     N043      24.0 C      1|                      |                      |Z       101.71942 m   | 
For M5|Adr    93|KD1     N044      24.0 C  1   1|Rf        1.40950 m   |HD         26.653 m   |                      | 
For M5|Adr    94|KD1     N043      24.0 C  1   1|Rb        1.92307 m   |HD         26.166 m   |                      | 
For M5|Adr    95|KD1     N043      24.0 C  1   1|Rb        1.92317 m   |HD         26.170 m   |                      | 
For M5|Adr    96|KD1     N044      24.0 C  1   1|Rf        1.40937 m   |HD         26.668 m   |                      | 
For M5|Adr    97|KD1     N044      24.0 C      1|                      |                      |Z       102.23310 m   | 
For M5|Adr    98|KD1     N044      24.0 C  1   1|Rb        2.00790 m   |HD         24.462 m   |                      | 
For M5|Adr    99|KD1     N045      24.0 C  1   1|Rf        1.44008 m   |HD         24.904 m   |                      | 
For M5|Adr   100|KD1     N045      24.0 C  1   1|Rf        1.44001 m   |HD         24.918 m   |                      | 
For M5|Adr   101|KD1     N044      24.0 C  1   1|Rb        2.00807 m   |HD         24.462 m   |                      | 
For M5|Adr   102|KD1     N045      24.0 C      1|                      |                      |Z       102.80105 m   | 
For M5|Adr   103|KD1     N046      24.0 C  1   1|Rf        1.59769 m   |HD         13.868 m   |                      | 
For M5|Adr   104|KD1     N045      24.0 C  1   1|Rb        1.73649 m   |HD         14.065 m   |                      | 
For M5|Adr   105|KD1     N045      24.0 C  1   1|Rb        1.73652 m   |HD         14.065 m   |                      | 
For M5|Adr   106|KD1     N046      24.0 C  1   1|Rf        1.59774 m   |HD         13.866 m   |                      | 
For M5|Adr   107|KD1     N046      24.0 C      1|                      |                      |Z       102.93984 m   | 
For M5|Adr   108|KD1     N046                  1|Sh        2.93984 m   |                      |                      | 
For M5|Adr   109|KD2     N046       20         1|Db         372.12 m   |Df         373.62 m   |Z       102.93984 m   | 
For M5|Adr   110|TO  End-Line                  1|                      |                      |                      | 
For M5|Adr   111|TO  Start-Line      aBFFB     2|                      |                      |                      | 
For M5|Adr   112|KD1     N046                  2|                      |                      |Z       102.93984 m   | 
For M5|Adr   113|KD1     N046      24.0 C  1   2|Rb        1.59791 m   |HD         13.866 m   |                      | 
For M5|Adr   114|KD1     N045      24.0 C  1   2|Rf        1.73640 m   |HD         14.052 m   |                      | 
For M5|Adr   115|KD1     N045      24.0 C  1   2|Rf        1.73628 m   |HD         14.050 m   |                      | 
For M5|Adr   116|KD1     N046      24.0 C  1   2|Rb        1.59793 m   |HD         13.867 m   |                      | 
For M5|Adr   117|KD1     N045      24.0 C      2|                      |                      |Z       102.80142 m   | 
For M5|Adr   118|KD1     N044      24.0 C  1   2|Rf        2.01398 m   |HD         24.525 m   |                      | 
For M5|Adr   119|KD1     N045      24.0 C  1   2|Rb        1.44558 m   |HD         24.859 m   |                      | 
For M5|Adr   120|KD1     N045      24.0 C  1   2|Rb        1.44544 m   |HD         24.861 m   |                      | 
For M5|Adr   121|KD1     N044      24.0 C  1   2|Rf        2.01401 m   |HD         24.518 m   |                      | 
For M5|Adr   122|KD1     N044      24.0 C      2|                      |                      |Z       102.23293 m   | 
For M5|Adr   123|KD1     N044      25.0 C  1   2|Rb        1.39082 m   |HD         26.727 m   |                      | 
For M5|Adr   124|KD1     N043      25.0 C  1   2|Rf        1.90435 m   |HD         26.168 m   |                      | 
For M5|Adr   125|KD1     N043      26.0 C  1   2|Rf        1.90428 m   |HD         26.159 m   |                      | 
For M5|Adr   126|KD1     N044      26.0 C  1   2|Rb        1.39083 m   |HD         26.714 m   |                      | 
For M5|Adr   127|KD1     N043      26.0 C      2|                      |                      |Z       101.71945 m   | 
For M5|Adr   128|KD1     N025      25.0 C  1   2|Rf        1.53013 m   |HD         18.740 m   |                      | 
For M5|Adr   129|KD1     N043      25.0 C  1   2|Rb        1.27103 m   |HD         18.400 m   |                      | 
For M5|Adr   130|KD1     N043      25.0 C  1   2|Rb        1.27109 m   |HD         18.399 m   |                      | 
For M5|Adr   131|KD1     N025      25.0 C  1   2|Rf        1.53014 m   |HD         18.748 m   |                      | 
For M5|Adr   132|KD1     N025      25.0 C      2|                      |                      |Z       101.46037 m   | 
For M5|Adr   133|KD1     N025      25.0 C  1   2|Rb        1.31358 m   |HD         27.905 m   |                      | 
For M5|Adr   134|KD1     N026      25.0 C  1   2|Rf        2.33108 m   |HD         27.888 m   |                      | 
For M5|Adr   135|KD1     N026      25.0 C  1   2|Rf        2.33123 m   |HD         27.874 m   |                      | 
For M5|Adr   136|KD1     N025      25.0 C  1   2|Rb        1.31345 m   |HD         27.887 m   |                      | 
For M5|Adr   137|KD1     N026      25.0 C      2|                      |                      |Z       100.44273 m   | 
For M5|Adr   138|KD1     N042      25.0 C  1   2|Rf        1.80170 m   |HD         18.136 m   |                      | 
